A	Coef.CellType	Coef.CancerType.Epithelial	Coef.CancerType.Lyphocytes	t.CellType	t.CancerType.Epithelial	t.CancerType.Lyphocytes	p.value.CellType	p.value.CancerType.Epithelial	p.value.CancerType.Lyphocytes	F	F.p.value
5.45	0.088	-0.051	-0.117	1.22	-0.48	-1.18	0.24707	0.63972	0.26215	0.95	0.44779
7.21	1.049	-0.795	0.078	3.18	-1.65	0.17	0.0086	0.12626	0.8663	4.37	0.0292
9.88	0.198	-0.168	0.057	2.18	-1.26	0.46	0.05206	0.23295	0.65503	2.26	0.13792
10.8	0.827	0.318	-0.203	2.23	0.59	-0.4	0.04695	0.56856	0.69516	1.79	0.20657
7.58	0.211	-0.109	-0.329	1.55	-0.55	-1.77	0.14919	0.59391	0.10412	1.78	0.20791
8.09	-0.931	-1.148	0.142	-2.7	-2.28	0.3	0.02067	0.04365	0.76835	4.15	0.03374
7.41	0.644	0.423	-0.044	3.49	1.57	-0.18	0.00496	0.1447	0.86394	4.9	0.02092
9.58	1.66	-0.695	-0.246	3.87	-1.11	-0.42	0.00256	0.29068	0.68207	5.4	0.01546
10.03	-1.119	0.038	0.288	-1.79	0.04	0.34	0.10135	0.96795	0.74299	1.07	0.39996
9.13	-0.717	0.009	-0.134	-2.8	0.02	-0.38	0.01706	0.98162	0.70921	2.76	0.09177
11.6	-0.578	2.047	-0.46	-0.61	1.47	-0.35	0.55718	0.16998	0.73123	0.9	0.47314
8.56	0.835	0.348	-0.155	5.55	1.58	-0.75	0.00017	0.14109	0.46743	11.12	0.00113
8.41	0.455	-0.184	-0.146	3.84	-1.07	-0.9	0.00269	0.30873	0.38533	5.39	0.01557
9.31	0.212	0.062	-0.071	2.47	0.5	-0.61	0.03077	0.62782	0.55416	2.17	0.14908
7.6	-0.547	0.19	1.818	-1.11	0.26	2.7	0.29035	0.79707	0.02043	2.7	0.09658
6.57	0.175	-0.227	-0.071	2.31	-2.04	-0.68	0.04143	0.06589	0.50915	3.23	0.06432
8.29	0.334	-0.163	-0.115	3.3	-1.1	-0.83	0.00704	0.29398	0.42385	4.11	0.03457
6.07	0.453	0.168	0.001	3.23	0.82	0	0.00788	0.42873	0.9972	3.74	0.04446
9.34	2.311	1.853	-0.071	7.74	4.25	-0.17	1e-05	0.00133	0.86548	26.12	2e-05
6.07	-0.088	0.08	0.054	-0.93	0.58	0.41	0.37162	0.57602	0.68664	0.43	0.73241
8.42	-0.569	-0.019	0.023	-4.59	-0.1	0.14	0.00076	0.91946	0.89312	7.04	0.00641
8.47	0.834	0.056	0.025	3.68	0.17	0.08	0.00354	0.86802	0.9363	4.6	0.02517
7.71	-0.111	-0.359	-0.038	-0.55	-1.21	-0.14	0.59388	0.24958	0.8932	0.6	0.62534
10.55	0.259	0.685	-0.352	1.65	2.99	-1.64	0.12712	0.0122	0.12883	4.62	0.02484
6.28	-0.414	0.349	-0.13	-3.19	1.84	-0.73	0.00852	0.09226	0.47998	4.89	0.02105
8.36	1.375	-1.913	-0.155	4.02	-3.83	-0.33	0.00198	0.00275	0.74603	10.27	0.00156
7.9	1.296	-1.631	-0.098	4.8	-4.14	-0.27	0.00054	0.00161	0.79482	13.4	0.00052
10.58	-0.334	-0.23	0.232	-4	-1.88	2.03	0.00205	0.08634	0.06718	7.41	0.00535
8.95	-0.286	-0.171	0.079	-3.69	-1.51	0.74	0.00353	0.16018	0.4724	5.33	0.01612
9.31	-0.514	-0.344	0.059	-2.33	-1.07	0.19	0.03966	0.30867	0.84951	2.19	0.1463
7.19	1.443	0.877	-0.087	3.52	1.46	-0.16	0.00476	0.17113	0.87913	4.85	0.02157
7.57	2.339	0.783	-1.085	2.39	0.55	-0.81	0.03544	0.594	0.43333	2.12	0.15476
10.86	-0.539	0.552	0.172	-4.58	3.22	1.07	0.00076	0.0081	0.30564	10.59	0.00138
8	0.012	0.201	0.117	0.14	1.57	0.98	0.8942	0.14441	0.34925	1.16	0.36891
7.99	0.035	-0.201	0.222	0.42	-1.63	1.93	0.68428	0.13061	0.07968	2.25	0.13881
7.05	0.503	-0.641	0	2.81	-2.45	0	0.01675	0.03181	0.99854	4.67	0.02409
10.45	-0.37	0.566	0.258	-1.44	1.51	0.74	0.17768	0.16001	0.47749	1.57	0.25282
11.52	-0.016	0.102	0.117	-0.1	0.44	0.54	0.92328	0.66554	0.59991	0.16	0.91867
9.18	0.269	-0.17	0.073	2.11	-0.92	0.42	0.05785	0.3796	0.68175	1.9	0.18718
7.13	0.171	-0.226	0.056	2.45	-2.22	0.59	0.0322	0.04788	0.56622	3.88	0.04055
10.22	0.603	0.313	0.198	2.4	0.85	0.58	0.03489	0.41108	0.57569	2.39	0.12397
8.49	-0.04	0.043	-0.22	-0.1	0.08	-0.42	0.91878	0.93917	0.68106	0.07	0.97554
10.69	0.259	0.242	-0.385	1.56	0.99	-1.69	0.14751	0.34161	0.11846	1.94	0.18188
7.01	0.481	0.167	0.017	3.46	0.82	0.09	0.00523	0.4269	0.92956	4.29	0.03079
10.57	0.184	-0.123	0.094	0.57	-0.26	0.21	0.58168	0.79972	0.83522	0.15	0.9249
8.33	-1.157	0.132	0.19	-4.46	0.35	0.53	0.00094	0.73358	0.60374	6.66	0.00777
8.48	0.465	-0.236	0.009	3.23	-1.12	0.05	0.00788	0.28539	0.96478	3.95	0.03864
8.67	0.132	-0.142	-0.903	0.36	-0.26	-1.78	0.72919	0.79783	0.10231	1.09	0.3932
7.46	-0.061	-0.124	0.11	-0.62	-0.86	0.81	0.55065	0.40999	0.43238	0.56	0.65089
8.93	0.238	-0.064	0.194	2.53	-0.47	1.52	0.02761	0.64864	0.15733	3.26	0.06285
6.99	0.555	-0.294	0.002	2.84	-1.03	0.01	0.01597	0.32571	0.99315	3.07	0.0726
6.08	0.13	-0.104	-0.079	1.54	-0.84	-0.69	0.15108	0.41697	0.50656	1.13	0.38026
7.83	0.364	-0.566	-0.196	1.83	-1.95	-0.72	0.09368	0.07667	0.48488	2.49	0.11414
8.02	-0.037	-0.053	-0.049	-0.47	-0.45	-0.45	0.65086	0.65914	0.66331	0.22	0.87898
5.89	0.916	1.123	0.023	2.92	2.45	0.05	0.01379	0.032	0.95774	4.88	0.02109
6.37	0.65	-0.829	0.012	1.79	-1.56	0.02	0.10121	0.14668	0.98193	1.89	0.18932
7.54	0.067	-0.136	-0.052	0.43	-0.6	-0.24	0.67621	0.56114	0.81186	0.19	0.89787
8.18	0.631	-0.936	0.128	3.02	-3.07	0.45	0.01151	0.01057	0.66248	6.37	0.00907
7.36	-0.252	0.361	-0.212	-1.44	1.41	-0.88	0.17846	0.18642	0.39559	1.7	0.22356
12.35	-0.496	0.619	-0.184	-3.28	2.8	-0.89	0.00723	0.01702	0.39178	6.7	0.00762
6.4	0.799	-0.32	-0.131	5.95	-1.63	-0.71	9e-05	0.13143	0.49028	12.67	0.00066
10.76	0.002	-0.041	0.083	0.01	-0.22	0.46	0.99049	0.83343	0.65183	0.09	0.96504
11.03	0.184	-0.471	-0.092	0.83	-1.45	-0.3	0.42534	0.17525	0.76721	0.94	0.45235
9.53	0.112	-0.183	0.047	1.19	-1.34	0.37	0.25788	0.20716	0.71855	1.15	0.37114
7.82	0.068	-0.036	-0.149	0.7	-0.25	-1.11	0.50028	0.80675	0.29105	0.55	0.66018
7.68	-0.058	0.311	-0.258	-0.42	1.56	-1.39	0.67993	0.14629	0.19176	1.56	0.25342
11.49	1.27	0.297	0.048	9.04	1.45	0.25	0	0.17579	0.8082	28.37	2e-05
5.21	0.04	0.011	-0.318	0.22	0.04	-1.24	0.83251	0.96733	0.23893	0.52	0.6772
6.32	-0.116	-0.343	0.157	-1.48	-2.99	1.46	0.16535	0.01211	0.17091	4.31	0.03039
12.44	0.234	0.534	-0.336	1.36	2.12	-1.43	0.20112	0.05694	0.17978	2.69	0.09738
14.03	0.148	-0.139	0.022	0.78	-0.5	0.08	0.45241	0.62753	0.93533	0.29	0.82923
9.37	0.358	0.16	0.148	1.96	0.6	0.59	0.07564	0.56242	0.56491	1.61	0.24373
7.47	0.134	0.478	0.191	0.73	1.77	0.76	0.48291	0.10418	0.4654	1.45	0.28101
7.21	0.076	0.246	-0.209	0.38	0.86	-0.78	0.70796	0.41058	0.45429	0.48	0.70516
5.7	1.111	1.23	0.033	5.54	4.2	0.12	0.00017	0.00146	0.90664	16.24	0.00023
11.94	0.31	-0.407	-0.184	1.33	-1.2	-0.58	0.20883	0.2548	0.5742	1.14	0.37464
10.44	0.039	-0.071	0.087	0.44	-0.55	0.72	0.67076	0.59223	0.4868	0.36	0.78291
6.34	0.209	-0.249	0.024	2.17	-1.77	0.18	0.05254	0.10428	0.86133	2.66	0.09916
7.83	0.046	-0.217	0.086	0.54	-1.75	0.74	0.60151	0.10806	0.47295	1.33	0.31472
7.88	-0.033	-0.097	0.213	-0.26	-0.53	1.24	0.79776	0.6079	0.24016	0.61	0.62046
8.1	0.04	-0.429	0.117	0.31	-2.3	0.67	0.76016	0.04161	0.51637	1.97	0.17715
9.5	-0.873	0.051	0.03	-5.68	0.23	0.14	0.00014	0.82545	0.88771	10.82	0.00127
7.35	-0.044	-0.014	0.022	-0.45	-0.1	0.17	0.65887	0.92202	0.87077	0.08	0.97117
11.09	0.682	1.815	-0.736	1.15	2.09	-0.91	0.27456	0.05987	0.38296	2.12	0.15557
7.17	-0.092	-0.15	0.179	-1.09	-1.22	1.56	0.29984	0.24663	0.14791	1.6	0.24508
6.38	-0.022	-0.051	-0.07	-0.25	-0.4	-0.59	0.80417	0.69735	0.56685	0.2	0.89294
7.6	-0.037	-0.105	0.067	-0.57	-1.11	0.76	0.5809	0.29009	0.46115	0.69	0.57794
8.2	0.212	-0.341	0.061	2.28	-2.52	0.48	0.04306	0.02835	0.64182	4.02	0.03681
9.07	-0.304	0.903	-0.48	-0.69	1.41	-0.8	0.50322	0.18626	0.43994	1.07	0.39914
13.23	-0.118	0.162	-0.409	-0.66	0.62	-1.67	0.52269	0.548	0.12286	1.29	0.32731
8.3	0.894	0.697	0.08	3.49	1.86	0.23	0.00499	0.08946	0.82347	5.32	0.01624
13.65	-0.294	0.055	-0.235	-2.31	0.3	-1.36	0.04072	0.77336	0.20167	2.66	0.0996
9.43	0.186	-0.079	0.087	1.61	-0.46	0.55	0.13625	0.65105	0.59479	1.1	0.39017
5.31	0.014	-0.049	-0.338	0.07	-0.17	-1.24	0.94653	0.87017	0.24055	0.52	0.6754
6.33	0.362	-0.247	-0.078	2.43	-1.14	-0.38	0.03322	0.27981	0.70757	2.41	0.1222
11.9	0.004	0.438	0.044	0.01	0.89	0.1	0.99123	0.39021	0.92446	0.27	0.84591
9.13	0.162	-0.189	-0.076	2.31	-1.84	-0.8	0.04112	0.09247	0.44324	3.02	0.07539
5.74	0.316	-0.062	0.092	3.93	-0.53	0.83	0.00232	0.60848	0.4234	5.73	0.01286
9.61	-0.064	0.017	0.048	-0.64	0.11	0.35	0.53589	0.91195	0.72999	0.17	0.91516
8.72	-0.041	-0.17	0.238	-0.39	-1.09	1.63	0.70697	0.30045	0.13093	1.3	0.32377
9.29	-0.091	0.719	0.264	-0.41	2.22	0.87	0.68881	0.04784	0.40219	1.94	0.18166
9.11	0.653	-0.145	0.07	5.4	-0.82	0.42	0.00021	0.43042	0.67901	10.24	0.00158
5.53	0.047	0.191	0.06	0.55	1.53	0.51	0.59334	0.15513	0.61869	0.98	0.43532
11.77	0.559	0.444	-0.396	2.78	1.51	-1.44	0.01768	0.15812	0.17661	3.81	0.04255
9.41	0.847	0.658	-0.191	3.19	1.7	-0.53	0.00856	0.1178	0.60855	4.36	0.02939
9.22	-0.055	-0.015	0.111	-0.45	-0.08	0.67	0.65906	0.93528	0.51761	0.2	0.89298
7.86	-0.273	0.131	0.037	-3.01	0.99	0.3	0.01179	0.34224	0.77261	3.34	0.05909
7.14	-0.029	-0.002	-0.246	-0.19	-0.01	-1.16	0.85577	0.99179	0.27048	0.48	0.70368
10.94	0.55	0.825	0.07	3.56	3.65	0.33	0.00441	0.00375	0.74759	8.82	0.00281
6.47	-0.539	-0.01	-1.525	-0.72	-0.01	-1.5	0.48396	0.99252	0.16136	1.01	0.42644
5.08	0.219	-0.087	-0.017	2.36	-0.64	-0.14	0.03759	0.53573	0.89288	2	0.17258
12.9	0.446	0.004	-0.167	2.74	0.01	-0.75	0.0191	0.98835	0.46743	2.58	0.10602
6.49	0.403	0.667	0.056	1.66	1.88	0.17	0.12455	0.08646	0.86913	2.14	0.15304
7.95	0.416	-0.273	0.046	3.52	-1.58	0.29	0.00473	0.14188	0.78083	5.09	0.01856
6.52	0.064	-0.286	-0.201	0.26	-0.8	-0.6	0.79762	0.44037	0.56062	0.35	0.7918
8.37	-0.534	0.076	-0.279	-1.81	0.18	-0.69	0.0977	0.86372	0.50336	1.35	0.3071
6.4	0.388	-0.005	-0.065	4.2	-0.04	-0.52	0.00145	0.9684	0.61464	5.88	0.01178
6.39	0.192	-0.085	0.022	2.44	-0.74	0.2	0.03288	0.47651	0.8433	2.22	0.14216
6.44	0.403	0.051	-0.052	4.98	0.43	-0.47	4e-04	0.67509	0.64542	8.33	0.0035
