A	Coef.CellType	Coef.CancerType.Epithelial	Coef.CancerType.Lyphocytes	t.CellType	t.CancerType.Epithelial	t.CancerType.Lyphocytes	p.value.CellType	p.value.CancerType.Epithelial	p.value.CancerType.Lyphocytes	F	F.p.value
8.5	-0.361	-0.195	0.206	-3.48	-1.29	1.46	0.00507	0.22412	0.17274	5.01	0.01953
8.64	-0.19	0.926	-0.047	-0.33	1.09	-0.06	0.75097	0.3007	0.95393	0.43	0.73505
7.05	-0.538	-0.165	-0.319	-3.65	-0.77	-1.59	0.00373	0.45836	0.14017	5.92	0.01153
8.08	0.215	0.148	-0.132	0.62	0.29	-0.28	0.54606	0.7745	0.7842	0.17	0.91162
5.6	-0.231	0.093	0.114	-2.23	0.61	0.8	0.04718	0.55178	0.43787	1.9	0.18738
6.91	-0.115	-0.123	0.228	-1.02	-0.75	1.47	0.33086	0.47045	0.16812	1.17	0.36573
9.5	0.363	0.477	-0.308	1.85	1.66	-1.15	0.09167	0.12466	0.27602	2.37	0.1259
9.5	0.069	-0.06	0.033	0.72	-0.43	0.25	0.48572	0.67819	0.80422	0.27	0.84627
5.9	-0.204	-0.233	0.226	-2	-1.56	1.61	0.07105	0.147	0.13447	2.82	0.08798
6.64	-0.039	-0.448	0.086	-0.25	-1.95	0.4	0.8105	0.07738	0.69592	1.33	0.31384
7.3	-0.186	-0.172	0.19	-2.12	-1.34	1.58	0.05751	0.2058	0.14111	2.74	0.09365
8.98	-0.186	0.035	0.245	-1.61	0.21	1.55	0.13598	0.8385	0.1494	1.53	0.26155
6.86	0.97	-2.167	0.039	1.28	-1.96	0.04	0.22645	0.07568	0.97049	1.83	0.19861
5.82	0.114	-0.146	-0.132	0.77	-0.67	-0.65	0.45738	0.51369	0.52664	0.46	0.71444
6.56	-0.276	0.081	0.16	-3.71	0.75	1.57	0.00337	0.46997	0.1437	5.27	0.01669
7.65	0.097	-0.376	-0.02	0.63	-1.68	-0.1	0.54178	0.12126	0.92469	1.07	0.40072
7.86	-0.038	0.208	0.35	-0.33	1.23	2.22	0.7472	0.24287	0.04826	2.15	0.15097
8.91	0.014	-0.062	0.186	0.12	-0.35	1.1	0.91046	0.7365	0.29636	0.46	0.71802
8.93	-0.004	-0.165	0.078	-0.04	-1.27	0.64	0.96506	0.22992	0.53446	0.68	0.58499
6.89	0.189	-0.274	0.173	1.77	-1.75	1.19	0.10376	0.10684	0.2607	2.69	0.09687
7.22	0.122	-0.06	-0.11	1.04	-0.35	-0.69	0.31837	0.73073	0.50489	0.52	0.67628
8.28	-0.287	0.223	0.002	-1.19	0.64	0.01	0.25702	0.53673	0.99562	0.62	0.61901
5.96	-0.005	0.114	0.069	-0.06	0.86	0.56	0.95666	0.40773	0.58814	0.35	0.7897
5.23	-0.289	0.071	-0.229	-1.85	0.31	-1.08	0.0908	0.76242	0.30489	1.71	0.22262
5.85	-0.574	-0.236	-0.208	-4.57	-1.28	-1.21	0.00078	0.22518	0.25173	8.43	0.00334
6.14	0.077	-0.069	0.032	0.71	-0.44	0.22	0.49108	0.66834	0.82989	0.26	0.85149
7.41	-0.053	-0.046	-0.058	-0.53	-0.32	-0.43	0.60596	0.75615	0.67453	0.21	0.88997
6.22	-0.194	-0.158	0.128	-1.75	-0.98	0.85	0.10676	0.34724	0.41273	1.5	0.26751
7.77	-0.257	-0.137	0.031	-3.12	-1.14	0.28	0.00965	0.27857	0.78645	3.68	0.04658
10.34	-0.279	-0.094	0.137	-3.44	-0.8	1.24	0.00544	0.44233	0.2411	4.43	0.02804
6.93	-0.1	-0.151	0.272	-0.89	-0.92	1.78	0.38994	0.37559	0.10312	1.51	0.26579
8.83	-0.519	-0.182	0.052	-5.1	-1.22	0.37	0.00033	0.24727	0.71724	9.16	0.00244
10.04	-0.164	0.086	0.156	-1.43	0.52	1	0.17996	0.61544	0.33828	1.02	0.42017
6.65	-0.154	-0.058	-0.018	-1.98	-0.51	-0.17	0.0725	0.62105	0.86507	1.44	0.28253
8.55	-0.447	0.017	0.23	-4.38	0.12	1.65	0.00108	0.91015	0.12756	6.89	0.00691
12.1	0.206	0.086	-0.134	1.28	0.37	-0.61	0.22577	0.7206	0.55342	0.67	0.58633
7.23	-0.127	-0.223	0.065	-1.02	-1.23	0.39	0.32903	0.24404	0.70745	0.88	0.48117
8.18	-0.634	0.175	0.479	-2.34	0.44	1.29	0.03899	0.66768	0.22218	2.27	0.13661
9.86	-0.007	-0.31	0.136	-0.05	-1.35	0.64	0.96413	0.20426	0.53815	0.74	0.54932
8.42	0.133	-0.581	0.033	0.76	-2.26	0.14	0.46542	0.04458	0.89224	1.91	0.18534
10.74	0.69	0.435	0.391	3.25	1.4	1.35	0.00762	0.18751	0.20412	5.12	0.01832
11.19	-0.337	-0.035	0.072	-3.57	-0.25	0.56	0.0043	0.80573	0.58708	4.29	0.03064
6.83	0.409	1.184	-0.716	0.78	1.54	-1	0.4525	0.15102	0.33968	1.28	0.32874
7.36	2.162	-1.878	0.133	2.93	-1.74	0.13	0.01349	0.1086	0.89734	3.94	0.03879
7.9	0.16	0.009	-0.286	0.38	0.01	-0.5	0.71089	0.98843	0.62897	0.12	0.9468
9.2	-0.851	-0.046	0.147	-2.21	-0.08	0.28	0.0494	0.93693	0.7859	1.62	0.23959
11.03	-0.632	0.17	0.843	-1.77	0.33	1.73	0.10335	0.75047	0.11078	1.9	0.18697
9.51	-0.062	0.404	-0.249	-0.49	2.18	-1.44	0.63383	0.05122	0.1788	2.41	0.12168
8.56	-0.632	0.129	0.135	-7.39	1.04	1.16	1e-05	0.32248	0.27052	18.62	0.00012
9.49	-0.073	-0.175	0.068	-0.43	-0.71	0.29	0.67645	0.49339	0.77433	0.25	0.85986
9.48	0.643	-0.244	0.453	6.2	-1.61	3.2	6e-05	0.13496	0.00835	18.54	0.00012
10.49	-0.297	0.045	0.092	-2.85	0.3	0.65	0.01564	0.77341	0.5314	2.78	0.09031
10.23	-0.996	-0.314	0.043	-3.78	-0.82	0.12	0.00297	0.43162	0.90787	5.02	0.01945
5.94	-0.285	-0.225	0.122	-2.88	-1.55	0.9	0.01479	0.1482	0.38548	3.7	0.04571
9.34	-0.662	0.104	-0.366	-2.25	0.24	-0.91	0.04598	0.81391	0.38223	2.13	0.15382
6.64	0.177	-0.395	0.036	1.42	-2.16	0.21	0.18389	0.05304	0.83576	2.27	0.13642
7.31	-0.146	-0.33	0.022	-1.3	-2.01	0.15	0.21885	0.06918	0.88703	1.91	0.18514
7.22	0.045	-0.33	-0.105	0.44	-2.23	-0.76	0.66733	0.04726	0.46523	1.89	0.18846
7.95	-0.029	-0.303	0.166	-0.21	-1.5	0.88	0.83552	0.16056	0.39751	1.02	0.42174
5.59	-0.023	-0.06	-0.07	-0.26	-0.47	-0.58	0.8015	0.65045	0.57223	0.22	0.88161
6.3	-0.123	-0.474	0.058	-1.28	-3.39	0.45	0.22622	0.0059	0.66394	4.42	0.02818
9.58	-0.813	1.708	0.354	-1.46	2.1	0.46	0.17241	0.05962	0.65097	2.21	0.14371
9.51	-0.293	-0.123	0.048	-2.9	-0.83	0.35	0.01434	0.42227	0.73226	3.03	0.07441
8.65	-1.258	0.033	0.432	-3.8	0.07	0.96	0.00287	0.94666	0.3591	4.94	0.02038
10.19	-0.001	0.009	-0.172	-0.01	0.03	-0.58	0.99556	0.97687	0.57301	0.11	0.95008
7.68	0.142	0.001	0.014	1.03	0.01	0.08	0.32267	0.99422	0.94151	0.37	0.77793
5.93	1.202	0.499	0.095	2.35	0.67	0.14	0.03851	0.5186	0.8949	2.03	0.16784
7.53	0.396	0.164	0.239	3.17	0.9	1.4	0.0088	0.38728	0.18868	4.6	0.02509
9.55	0.248	-0.306	0.212	2.22	-1.87	1.39	0.04839	0.08766	0.19307	3.67	0.04675
9.14	-0.312	0.022	-0.061	-2.53	0.12	-0.36	0.02791	0.9035	0.72566	2.26	0.13805
5.95	0.027	0.017	0.073	0.29	0.13	0.58	0.77906	0.90015	0.57458	0.16	0.92314
10.61	-2.037	0.264	-0.546	-7.54	0.67	-1.48	1e-05	0.51743	0.16669	20.78	7e-05
6.08	0.862	0.929	0.114	2.76	2.03	0.27	0.01851	0.06662	0.7941	4.01	0.03705
5.77	0.886	0.436	0.023	3.5	1.18	0.07	0.0049	0.26269	0.94843	4.6	0.02514
9.84	0.487	0.074	-0.108	3.32	0.34	-0.54	0.00674	0.73668	0.60057	3.73	0.04487
6.68	-0.388	-0.098	-0.298	-0.98	-0.17	-0.55	0.34988	0.86898	0.59448	0.47	0.71164
5.65	0.394	-0.274	-0.28	2.92	-1.39	-1.52	0.01371	0.1903	0.15549	4.01	0.03691
8.79	0.203	-1.019	-0.54	0.55	-1.89	-1.07	0.59284	0.08475	0.30682	1.64	0.23557
10.91	-0.493	0.74	0.071	-1.67	1.72	0.18	0.1227	0.1139	0.86304	1.91	0.18563
10.06	0.119	0.509	-0.057	0.61	1.78	-0.21	0.5555	0.10311	0.83531	1.18	0.36054
6.66	0.343	0.744	0.001	1.01	1.5	0	0.33419	0.16229	0.99861	1.09	0.39351
11.47	0	-0.264	-0.065	0	-1.08	-0.28	0.99911	0.30167	0.78151	0.42	0.74344
9.26	-3.217	-0.721	-0.861	-5.76	-0.88	-1.13	0.00012	0.39501	0.28272	12.3	0.00075
7.92	-0.278	-0.25	-0.045	-1.85	-1.14	-0.22	0.0908	0.27891	0.83188	1.63	0.23877
10.61	0.937	-1.15	-2.377	1.44	-1.21	-2.67	0.17871	0.25279	0.02178	3.32	0.06017
9.23	0.769	1.487	0.521	1.33	1.77	0.66	0.20895	0.10488	0.52149	1.84	0.1971
7.29	0.143	-0.261	0.288	0.84	-1.05	1.24	0.41776	0.31577	0.24145	1.19	0.35797
10.31	0.678	-0.301	0.025	2.82	-0.86	0.08	0.01651	0.41009	0.94016	2.94	0.08012
9	0.097	-0.676	0.035	0.57	-2.75	0.15	0.57712	0.01862	0.8801	2.65	0.10012
5.44	0.031	-0.059	-0.006	0.43	-0.57	-0.06	0.67522	0.58328	0.95512	0.17	0.91562
10.27	-0.274	0.143	-0.05	-1.83	0.65	-0.25	0.09479	0.52767	0.81021	1.31	0.31869
8.05	-0.52	-0.47	0.012	-3.61	-2.23	0.06	0.00406	0.04691	0.95096	6.03	0.01089
8.55	-3.687	0.123	0.202	-7.91	0.18	0.32	1e-05	0.86014	0.75644	20.94	7e-05
8.3	-0.255	-0.118	0.072	-2.33	-0.74	0.48	0.03986	0.47379	0.63959	2.01	0.17046
8.82	-0.065	-0.041	-0.009	-0.48	-0.21	-0.05	0.64291	0.84051	0.9619	0.09	0.96242
6.97	-0.102	-0.159	0.059	-0.67	-0.72	0.28	0.5149	0.48739	0.7813	0.34	0.79767
7.61	-0.815	-0.068	0.063	-3.47	-0.2	0.2	0.00514	0.84629	0.84872	4.04	0.03628
9.8	-0.154	0.16	0.238	-1.2	0.86	1.36	0.25555	0.41009	0.20085	1.24	0.34053
6.4	0.788	0.625	0.129	2.66	1.45	0.32	0.02187	0.17557	0.7565	3.18	0.06691
7.37	-0.016	0.326	-0.17	-0.09	1.3	-0.72	0.92709	0.22062	0.48492	0.74	0.54743
8.78	0.205	0.928	-0.232	0.9	2.8	-0.75	0.38484	0.01715	0.47067	3.03	0.07462
9.64	-1.32	-0.122	0.08	-5.22	-0.33	0.23	0.00027	0.74752	0.82052	9.16	0.00244
5.62	0.019	0.116	0.077	0.15	0.62	0.44	0.88163	0.54626	0.66673	0.21	0.88931
6.14	-0.17	0.049	-0.231	-1.72	0.34	-1.71	0.11296	0.73917	0.1144	2.22	0.14292
6.99	-0.509	-0.665	0.5	-2.29	-2.04	1.64	0.04274	0.06528	0.12865	3.82	0.04227
8.93	0.055	1.259	-0.487	0.09	1.41	-0.58	0.92988	0.1868	0.57229	0.77	0.53273
9.82	-0.254	0.021	0.334	-3.33	0.19	3.22	0.00656	0.85526	0.00812	6.53	0.00832
12.11	-0.138	0.048	-0.231	-0.87	0.21	-1.07	0.40009	0.83977	0.3076	0.72	0.56138
8.4	-0.049	-0.023	0.135	-0.37	-0.12	0.75	0.72023	0.90842	0.47076	0.22	0.88076
9.97	-0.158	-0.038	-0.275	-0.66	-0.11	-0.84	0.52131	0.91519	0.41606	0.43	0.73661
8.96	0.068	-0.2	-0.154	0.31	-0.63	-0.52	0.76204	0.54266	0.61462	0.24	0.86413
5.63	0.076	0.123	-0.094	0.87	0.96	-0.78	0.40409	0.35722	0.44918	0.72	0.55876
10.4	0.184	-0.193	0.049	2.2	-1.59	0.43	0.04964	0.14093	0.67521	2.59	0.10482
6.41	-0.165	-0.089	-0.388	-0.48	-0.18	-0.83	0.63917	0.86279	0.42469	0.35	0.79278
7.53	0.281	-0.118	0.089	1.86	-0.53	0.43	0.08933	0.6039	0.67554	1.38	0.30085
6.02	0.329	-0.355	0.031	2.06	-1.52	0.14	0.06408	0.15747	0.88827	2.21	0.1432
7.94	0.192	0.303	0.123	0.64	0.69	0.3	0.53757	0.50509	0.7708	0.34	0.79915
8.5	0.317	0.279	0.149	1.96	1.18	0.68	0.07505	0.26122	0.51261	2.01	0.17101
8.32	1.049	0.491	0.094	6.12	1.96	0.4	7e-05	0.0754	0.69497	14.1	0.00042
10.46	-0.387	0.009	0.36	-1.56	0.03	1.07	0.14627	0.98008	0.30922	1.09	0.39191
10.84	-0.116	-0.115	0.316	-0.55	-0.37	1.1	0.59292	0.71614	0.29561	0.51	0.68087
10.46	-0.083	-0.185	0.2	-0.49	-0.75	0.87	0.63261	0.46847	0.40342	0.5	0.69301
6.48	0.74	0.036	-0.027	3.08	0.1	-0.08	0.01031	0.91935	0.93622	3.19	0.06633
6.66	-0.076	-0.149	0.142	-0.5	-0.68	0.69	0.62371	0.51103	0.50204	0.38	0.77049
8.19	-0.254	-0.096	-0.002	-2.19	-0.57	-0.01	0.05076	0.58038	0.98929	1.72	0.21917
10.64	-0.491	0.827	-0.3	-1.92	2.22	-0.86	0.08076	0.04847	0.40842	3.24	0.06398
6	0.528	-0.58	-0.037	2.06	-1.55	-0.11	0.06372	0.14971	0.9167	2.21	0.1432
10.06	-1.595	0.158	0.618	-3.72	0.25	1.05	0.00334	0.8057	0.31414	4.79	0.02239
8.22	0.056	-0.825	-0.036	0.25	-2.55	-0.12	0.8057	0.02666	0.90828	2.2	0.14538
7.36	0.166	-0.465	0.028	0.95	-1.81	0.12	0.36471	0.0973	0.90789	1.41	0.29271
8.42	-0.334	-0.049	0.525	-1.38	-0.14	1.59	0.19433	0.89268	0.14041	1.35	0.30739
8.56	-0.127	-0.056	0.324	-1.17	-0.35	2.2	0.26598	0.73152	0.04996	1.96	0.17786
8.32	-0.301	0.18	0.284	-1.04	0.43	0.72	0.32051	0.67846	0.48661	0.55	0.65876
6	1.786	-0.616	0.006	2.13	-0.5	0.01	0.05625	0.62461	0.99575	1.61	0.24202
8.36	-0.181	0.089	0.199	-1.4	0.47	1.13	0.18781	0.64631	0.28285	1.06	0.40425
8.47	-0.634	-0.01	0.209	-5.44	-0.06	1.31	2e-04	0.95603	0.2167	10.07	0.00168
14.64	-0.18	-0.19	0.006	-3.02	-2.18	0.08	0.01153	0.05129	0.93883	4.65	0.02445
11.85	0.03	-0.19	0.057	0.32	-1.38	0.44	0.75417	0.19486	0.66937	0.74	0.54823
5.64	0.282	-0.081	0.187	2.22	-0.44	1.08	0.04854	0.66989	0.30514	2.26	0.13777
8.78	-0.364	-0.015	-0.186	-3.14	-0.09	-1.17	0.00937	0.93022	0.26644	4.01	0.03691
6.93	1.786	0.447	-0.066	2.84	0.49	-0.08	0.01582	0.6359	0.9405	2.79	0.08989
7.05	-0.62	0.169	0.206	-2.57	0.48	0.63	0.02601	0.6412	0.54455	2.32	0.13111
8.92	0.355	-0.367	-0.155	2.16	-1.53	-0.69	0.05337	0.15469	0.50445	2.41	0.12163
9.02	-0.268	0.049	-0.242	-0.76	0.1	-0.5	0.46438	0.92545	0.62648	0.31	0.82094
9.31	-0.039	0.149	-0.089	-0.14	0.35	-0.22	0.89456	0.73032	0.82609	0.07	0.97637
11.28	1.246	0.705	0.046	2.33	0.9	0.06	0.0396	0.38582	0.95053	2.11	0.15635
7.63	0.11	-0.138	-0.138	0.61	-0.53	-0.56	0.55339	0.60965	0.58483	0.3	0.82361
9.42	-0.037	-0.34	0.093	-0.4	-2.53	0.74	0.69846	0.02755	0.47285	2.36	0.12672
8.56	0.012	-0.26	-0.03	0.11	-1.69	-0.21	0.91101	0.11899	0.83653	0.97	0.44156
6.45	0.238	-0.28	0.006	2.33	-1.87	0.04	0.03987	0.08784	0.96876	3	0.07658
7.32	0.007	-0.095	-0.08	0.1	-0.85	-0.76	0.92503	0.41335	0.46343	0.43	0.7335
10.14	-0.235	0.05	0.192	-0.69	0.1	0.41	0.50236	0.92207	0.68707	0.2	0.89163
9.53	0.278	-0.259	-0.048	3.81	-2.43	-0.48	0.00283	0.03316	0.63866	6.82	0.00717
5.74	0.346	-0.087	0.055	4.02	-0.69	0.47	0.00196	0.50387	0.64699	5.81	0.01227
9.32	-0.108	0.84	0.182	-0.46	2.47	0.57	0.65137	0.03072	0.57897	2.2	0.14439
9.03	-0.275	-0.085	0.446	-1.3	-0.27	1.55	0.21913	0.78836	0.15021	1.27	0.33274
8.97	0.048	-0.286	-0.274	0.45	-1.83	-1.87	0.66239	0.09452	0.08755	2.31	0.13253
8.19	0.235	-0.04	-0.088	2.78	-0.32	-0.76	0.01789	0.75222	0.46361	2.68	0.09769
8.95	0.368	-0.366	-0.116	2.8	-1.91	-0.65	0.01704	0.08283	0.53159	3.88	0.04053
8.6	0.353	-0.443	-0.004	2.81	-2.41	-0.02	0.01685	0.03446	0.98248	4.59	0.0254
5.71	0.358	0.291	0.034	1.6	0.89	0.11	0.13853	0.39402	0.91273	1.14	0.37696
10.61	-1.105	-0.478	0.702	-4.72	-1.4	2.19	0.00061	0.18948	0.05029	9.1	0.00251
10.4	0.455	0.049	-0.311	3.01	0.22	-1.51	0.01165	0.82658	0.15941	3.54	0.05122
8.82	0.043	-0.174	0.1	0.36	-0.99	0.61	0.7286	0.34111	0.55188	0.51	0.68131
10.43	0.28	0.318	-0.136	1.73	1.35	-0.62	0.11058	0.20513	0.54957	1.67	0.22926
5.95	0.057	-0.235	-0.13	0.33	-0.93	-0.55	0.74601	0.37106	0.59293	0.42	0.74449
11.68	0.235	0.466	-0.222	1.53	2.07	-1.05	0.15433	0.06234	0.31428	2.48	0.11452
7.53	1.624	-1.511	0.034	4.57	-2.91	0.07	0.00078	0.01399	0.94528	9.89	0.00181
9.07	-0.006	0.047	-0.006	-0.01	0.08	-0.01	0.98833	0.93713	0.99063	0	0.99984
9.92	-0.026	-0.124	-0.112	-0.11	-0.34	-0.33	0.91719	0.73889	0.74651	0.08	0.96845
8.92	-1.316	0.51	0.141	-5.23	1.39	0.41	0.00027	0.19242	0.68915	9.75	0.00191
11.83	-0.798	0.621	0.492	-2.4	1.28	1.08	0.03512	0.22718	0.30202	2.7	0.09605
11.06	-0.697	0.491	0.358	-2.21	1.07	0.83	0.04891	0.309	0.42332	2.14	0.15308
10.57	0.429	0.284	-0.272	2.6	1.18	-1.21	0.02444	0.26282	0.25256	3.03	0.07487
6.03	0.149	-0.049	-0.021	2.17	-0.49	-0.23	0.05228	0.63685	0.82266	1.65	0.23364
10.77	0.457	0.106	-0.55	1.81	0.29	-1.59	0.09783	0.77921	0.13996	1.79	0.20689
10.83	-0.266	-0.264	0.057	-2.24	-1.52	0.35	0.04647	0.15634	0.7315	2.45	0.11791
13.78	-1.023	0.028	0.213	-6.78	0.13	1.03	3e-05	0.90159	0.32347	15.38	0.00029
8.3	0.267	0.19	0.188	1.18	0.58	0.61	0.2624	0.57613	0.55458	0.75	0.54362
10.96	-2.424	-0.814	0.636	-3.68	-0.85	0.71	0.00359	0.41553	0.49444	4.78	0.02243
5.87	0.013	-0.122	0.092	0.1	-0.7	0.56	0.91853	0.49834	0.58421	0.28	0.8403
11.79	-1.314	1.94	-1.492	-2.36	2.39	-1.96	0.03727	0.03563	0.07493	5.39	0.01558
11.27	0.51	0.576	0.181	3.65	2.82	0.95	0.00379	0.01663	0.36311	7.65	0.00478
8.63	0.264	-0.242	0.091	1.54	-0.97	0.39	0.15146	0.35348	0.70446	1.2	0.35414
8.28	0.25	-0.14	0.035	1.92	-0.73	0.2	0.08125	0.47808	0.84597	1.46	0.27959
5.92	-1.1	-0.097	-1.09	-1.5	-0.09	-1.09	0.16146	0.92921	0.29969	1.27	0.33344
6.16	-1.405	-0.158	-1.458	-1.96	-0.15	-1.49	0.07555	0.88307	0.16429	2.24	0.14038
10.2	-0.449	0.793	0.228	-2.59	3.13	0.96	0.02506	0.00949	0.35729	5.66	0.01333
9.6	0.14	-0.609	0.154	0.89	-2.65	0.72	0.39299	0.02242	0.48858	2.82	0.08764
9.17	-2.262	0.379	0.419	-8.69	1	1.18	0	0.3403	0.26307	25.56	3e-05
7.19	0.036	0.406	-0.05	0.2	1.59	-0.21	0.84331	0.14097	0.83995	0.86	0.48877
11.37	-0.25	0.389	0.314	-0.84	0.89	0.77	0.41942	0.39053	0.45678	0.66	0.59323
9.67	0.441	-0.101	-0.785	1.01	-0.16	-1.31	0.33537	0.87764	0.21631	0.84	0.49903
9.66	-0.203	0.548	-0.204	-1.25	2.31	-0.92	0.23761	0.04143	0.37819	2.65	0.09993
10.36	-0.654	0.54	-0.173	-4	2.26	-0.78	0.00203	0.04461	0.45358	7.51	0.00511
9.47	-1.093	0.681	0.172	-4.34	1.85	0.5	0.00115	0.09084	0.62678	7.42	0.00534
5.89	-0.707	-0.089	-0.6	-2.33	-0.2	-1.45	0.03955	0.84431	0.17522	2.77	0.09119
5.62	0.927	-1.078	-0.113	1.87	-1.49	-0.17	0.0876	0.16376	0.86984	1.91	0.18581
8.4	0.049	0.2	0.035	0.25	0.69	0.13	0.80881	0.50205	0.89759	0.19	0.90163
11.94	-0.365	0.204	-0.208	-2.81	1.07	-1.17	0.01686	0.30656	0.26735	3.71	0.0454
6.37	0.335	0.284	0.015	2.88	1.67	0.09	0.01471	0.12186	0.92837	3.76	0.04405
9.46	-1.236	0.342	-0.171	-5.14	0.97	-0.52	0.00031	0.35134	0.61322	9.46	0.00216
11.1	-0.18	0.831	-0.128	-0.74	2.34	-0.39	0.47556	0.03906	0.70661	2.08	0.16118
6.19	-0.181	-0.002	0.461	-0.78	-0.01	1.45	0.45277	0.99492	0.17479	0.84	0.50111
10.57	0.286	0.111	0.082	1.15	0.3	0.24	0.27544	0.76628	0.8149	0.51	0.6827
11.37	0.131	0.869	-0.202	0.4	1.82	-0.45	0.69559	0.09572	0.65954	1.22	0.34936
11.48	-0.123	0.269	-0.08	-0.96	1.44	-0.46	0.35534	0.17734	0.65681	1.1	0.38842
11.58	-0.289	0.313	-0.012	-2.13	1.58	-0.06	0.05679	0.14265	0.94997	2.36	0.12683
10.85	3.471	0.563	1.728	6.34	0.7	2.31	5e-05	0.49606	0.04119	16.44	0.00021
10.09	2.957	0.818	1.096	6.18	1.17	1.68	7e-05	0.26573	0.12114	14.96	0.00032
9.38	0.586	0.376	0.039	3.51	1.54	0.17	0.00478	0.15102	0.86821	5	0.01969
12.41	-0.145	-0.019	-0.392	-0.74	-0.07	-1.48	0.47189	0.94785	0.16746	0.99	0.43094
7.22	0.028	-0.17	-0.103	0.33	-1.39	-0.9	0.74758	0.19188	0.38716	0.93	0.45687
5.13	0.276	0.007	0.053	3.18	0.05	0.45	0.00873	0.95965	0.66393	3.55	0.05075
9.56	0.259	-0.239	-0.049	2.57	-1.62	-0.35	0.0259	0.1331	0.73128	3.08	0.07189
13.28	-0.077	-0.106	0.334	-0.38	-0.36	1.21	0.71009	0.72758	0.25182	0.55	0.65656
8.53	0.641	-1.379	-0.178	1.33	-1.96	-0.27	0.21046	0.07599	0.7921	1.87	0.19228
9.72	-0.1	0.84	-0.135	-0.26	1.51	-0.26	0.7973	0.15803	0.79954	0.81	0.5121
5.65	-0.306	-0.15	0.508	-1.63	-0.55	1.98	0.1312	0.59402	0.07279	2.1	0.15731
10.59	-1.118	0.47	-0.048	-3.49	1.01	-0.11	0.00499	0.33622	0.91542	4.46	0.02749
8.3	-0.396	0.583	1.132	-1	1.01	2.1	0.3371	0.3339	0.0595	2.02	0.1686
9.63	-0.277	-0.107	0.226	-2.8	-0.74	1.68	0.01717	0.4749	0.12175	3.45	0.05451
10.17	-0.332	0.7	-0.039	-1.78	2.57	-0.15	0.1028	0.02598	0.88136	3.29	0.06162
7.81	-0.141	-0.021	0.185	-0.84	-0.09	0.8	0.41982	0.9324	0.43958	0.41	0.74843
9.08	-0.475	0.231	-0.067	-1.72	0.57	-0.18	0.11281	0.57812	0.86122	1.14	0.37598
10.09	-2.868	0.291	0.01	-5.82	0.4	0.01	0.00011	0.69424	0.98879	11.43	0.00101
10.12	-1.001	0.389	0.41	-3.57	0.95	1.07	0.00429	0.36203	0.30724	4.73	0.02313
9.54	0.812	0.089	-0.533	1	0.07	-0.48	0.33712	0.94156	0.63878	0.39	0.76452
9.85	-0.431	1.054	-0.129	-1.93	3.23	-0.42	0.07986	0.00794	0.68002	4.84	0.02169
6.05	1.159	-1.93	-0.049	1.51	-1.72	-0.05	0.15852	0.11228	0.96377	1.76	0.21285
9.58	-0.656	0.103	-0.06	-4.89	0.52	-0.33	0.00047	0.61021	0.74912	8.27	0.00359
9.79	-0.1	-0.04	0.079	-0.82	-0.22	0.47	0.43104	0.82621	0.64459	0.29	0.83055
10.52	-0.686	0.337	0.023	-2.45	0.82	0.06	0.03224	0.42825	0.95404	2.23	0.14118
9.61	0.051	-0.123	-0.003	0.61	-1.01	-0.03	0.55692	0.33357	0.97895	0.46	0.7136
9.95	2.144	-0.106	-0.008	6.14	-0.21	-0.02	7e-05	0.83842	0.98621	12.7	0.00065
10.71	1.914	0.193	-0.054	8.38	0.58	-0.17	0	0.57512	0.86629	23.68	4e-05
10.73	0.04	-0.069	0.136	0.18	-0.21	0.45	0.85743	0.83386	0.65805	0.1	0.95729
7.29	-0.197	-0.186	0.253	-1.56	-1.01	1.47	0.14634	0.33484	0.16979	1.73	0.21706
10.15	0.139	0.118	-0.017	0.61	0.36	-0.06	0.55134	0.72806	0.95647	0.17	0.91562
8	-0.052	-0.396	-0.095	-0.29	-1.55	-0.4	0.77424	0.14978	0.6979	0.89	0.47706
8.29	0.17	0.424	-0.328	1.4	2.39	-1.98	0.1886	0.03535	0.07256	3.71	0.04536
6.29	-0.661	0.092	-1.551	-0.76	0.07	-1.31	0.46051	0.94307	0.21591	0.84	0.49778
8.35	1.33	-0.024	-0.427	4.98	-0.06	-1.17	4e-04	0.95252	0.2658	8.44	0.00332
11.49	-0.03	-0.171	-0.126	-0.22	-0.88	-0.69	0.82757	0.39876	0.5029	0.44	0.72566
10.05	0.093	-0.073	-0.354	0.37	-0.2	-1.04	0.71695	0.84421	0.3212	0.4	0.75747
12.54	-0.076	0.284	-0.451	-0.55	1.4	-2.37	0.59362	0.18887	0.03683	2.73	0.09388
6.95	0.615	0.333	-0.139	1.36	0.51	-0.23	0.19965	0.62285	0.82572	0.71	0.56686
5.35	0.123	-0.006	-0.21	1.35	-0.04	-1.69	0.20235	0.96534	0.11848	1.43	0.2858
7.8	-0.06	0.043	-0.633	-0.28	0.14	-2.21	0.7814	0.89208	0.04897	1.72	0.22011
10.88	0.588	0.311	-0.108	2.08	0.75	-0.28	0.06157	0.46792	0.78442	1.63	0.23821
8.08	0.841	-0.253	-0.082	2.09	-0.43	-0.15	0.06031	0.67482	0.88411	1.52	0.26345
9.09	0.463	0.747	0.737	1.42	1.57	1.65	0.18403	0.14549	0.12658	2.56	0.10744
